speech_id;person;text;link
1;Reinhold Lopatka (PPE);"Mr President, thank you, rapporteur, for your report. The report shows that the Kingdom of Saudi Arabia is a key partner of the European Union in terms of economic relations, and a central actor in regional stability. The country, as you mentioned, is undergoing profound transformation. As Chair of the Delegation for Relations with the Arab Peninsula, I have the opportunity to witness firsthand the evolving dynamics of cooperation between the European Union and the Gulf region.

This report recognises that bilateral relations should evolve into a strategic partnership, including items like trade, sustainable energy, people-to-people exchange and so on. But we have also to see the concerns, and I have to mention 338 executions in 2024 and 340 already this year. This is a negative development.

So, to conclude, if we want to build a strong relationship, which will have a lot of benefits for European and Saudi citizens, we have to act in mutual respect and we have also to see the problems.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-12-15-ITM-019_EN.html
2;Maravillas Abadía Jover (PPE);"Mr. President, Europe urgently needs innovation, growth, and jobs. To achieve this, it is essential to reduce the bureaucracy that is stifling our businesses. That is why the European People's Party welcomes the omnibus package and the progress it proposes in eliminating unnecessary obstacles, creating a more competitive and innovation-friendly economic environment.

This package is a step in the right direction, but there is still room for improvement. The reduction of administrative burdens must go further so that European companies can grow without unnecessary regulatory hurdles. A clear example is the obligation imposed by the Corporate Sustainability Reporting Directive, which requires many companies to produce sustainability reports, even when they are already part of corporate groups that present this data in a consolidated manner.

While the omnibus package has introduced changes that eliminate redundancies, European companies continue to dedicate significant resources to complying with bureaucratic requirements instead of focusing on their core business. The strategic autonomy we talk so much about will not be possible if we don't make things easier for those who produce, innovate, and create wealth in Europe. We must compete on a level playing field with other regions of the world. We continue working to make this package even more ambitious in eliminating administrative burdens.
";
3;Juan Fernando López Aguilar (S&D);Mr President, I would like to raise not only the opportunity but also the content of this report by Ms Jalloul Muro regarding the relationship between the European Union and Saudi Arabia, which has proved to be a relevant regional actor. The European Union should actually fulfil its commitment to become a globally relevant actor – if Saudi Arabia is a relevant partner for the US, for Israel, for the Islamic Conference, for the Arab world, how could it not be relevant for the European Union? But I would especially like to praise the strong message of the European Union's diplomatic commitment to human rights, empowering equal rights between men and women and, of course, fighting the death penalty – that is the number one priority for the European Union. But in order to enhance that message to a relevant actor, as Saudi Arabia certainly is, it takes enhancing the bilateral relationship between Saudi Arabia and the European Union. So I can only thank Ms Jalloul Muro's report on this relation between the European Union and Saudi Arabia.;https://www.europarl.europa.eu/doceo/document/CRE-10-2025-12-15-ITM-019_EN.html
4;Billy Kelleher (Renew);"Mr President, I welcome the report. And just to say that we should continue to engage in dialogue, particularly human rights dialogue between the European Union and the Kingdom of Saudi Arabia. And that dialogue, obviously should cover women's rights, vulnerable groups and migrants. It should also cover the rule of law, rights to a fair trial, and obviously the issue of the death penalty.

Saudi Arabia is a key geopolitical partner in the Gulf region now. It has huge influence and huge resources. It is an ally very often of Israel. It is an ally of the United States in the key geopolitical decisions being made in that region. Equally, the European Union should work closely with Saudi Arabia to ensure that our views and what we would like to see happen in that particular region is reflected as well and relayed to Saudi Arabia.

But the one thing we can do is pretend that there isn't appalling abuse in the kingdom of Saudi Arabia, and we must continue to advocate for the points already raised by the Members here with regard to women's rights, vulnerable groups, rule of law, the right to fair trials, the death penalty and making sure migrants are protected and not abused.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-12-15-ITM-019_EN.html
5;Jessika van Leeuwen (PPE);"Mr President, Commissioner, I called for this debate, as I am shocked by the unjust and outrageous decision of China to impose extra import duties on EU pork. It is a clear retaliation for our anti-dumping claim on electrical vehicles. And I remember clearly that when we decided to go ahead with this claim, I warned the Commission that retaliation on EU pork was a risk, and now we are faced with extra import duties varying between 15 % and 62 %.

These tariffs will hit our swine producers and the processing industry very hard. It will affect our export possibilities and reduce the circularity of the sector, as we export cuts that were not, or very rarely, consumed in the EU. And it will lead to unfair competition on the internal market, as the tariffs vary between companies.

Commissioner, the European swine industry is the best in the world. It has made great efforts to reduce antibiotics, has the lowest environmental impact and complies with the best animal welfare standards. Our farmers already faced threats as a result of our policies, reducing CAP support and upcoming trade deals, and now they are used as a bargaining chip in a trade conflict about electric vehicles. The Dutch Farmer–Citizen Movement is not willing to let this happen.

We therefore insist, Commissioner, that the Commission challenges these duties at the WTO, launches a diplomatic initiative to resolve this dispute quickly and, if necessary, establishes a crisis fund to stabilise incomes and prevent job losses. Above all, the Commission should make it clear that farmers are not left behind in this geopolitical crossfire. It should send a strong message to show that we stand behind our farmers. I say let's reform Europe.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-09-10-ITM-010_EN.html
6;Barry Cowen (Renew);"Mr President, colleagues, China's recent decision to impose tariffs on European pork is unjustified and it demands a response that is firm, fair and strategic.

China's market is vital for Europe's pig sector, as has been said, especially for by-products, where no other market offers the same return.

Just last year, pork exports to China were worth over EUR 2.4 billion. In Ireland's case, that is 61 000 tonnes of pigmeat worth nearly EUR 100 million. Losing that income would be a serious blow to farm families and rural communities.

The Commission has pledged to defend foreign producers and now it must follow through on that pledge. Farmers cannot be collateral damage in bigger trade disputes driven by other sectors.

Now is the time to be firm without being reckless. A trade war with China benefits no one, and protecting farmers must remain central to the EU's strategy going forward.
";
7;Elisabetta Gualmini (S&D);"Mr President, dear Commissioner, China's decision to impose anti-dumping duties of up to 62 % on the importation of European pork products is an act of profound economic injustice that damages our farmers a lot, with estimated costs of around USD 2 billion. It just happens when China itself is facing a significant domestic overcapacity of pork products, so there are no real and legitimate reasons for such tariffs.

Beijing's decision is nothing more than a retaliation to the principle of multilateralism and to a system of shared rules which is now more than ever under attack. So if we also consider Trump's duties by 15 % on European food products, it is crystal clear that Europe is more and more squeezed between two powerful autocrats using trade as a weapon.

But the problem is bigger today. The problem is that the strategic autonomy of the European Union is not enough. We must work for a stronger, united, powerful political union, not only a market, which makes a difference in the world, and not be a hostage of lunatic superpowers.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-09-10-ITM-010_EN.html
8;Nora Mebarek, S&D;"Mr. President, Mr. Commissioner, climate change is striking harder than ever. Reunion Island has just experienced its bitter consequences after the devastating passage of Cyclone Garance. Five dead, hundreds left homeless, tens of thousands of homes without electricity, the drinking water supply disrupted, infrastructure ravaged, and agriculture brought to its knees. The island is disfigured, the population severely affected: this is why it is crucial that our Parliament express its full solidarity with the people of Reunion. Europe must rise to the occasion in the face of the distress caused by these repeated disasters.

As with Mayotte after Cyclone Chido, the French government must request the mobilization of the European Union Solidarity Fund to help Reunion Island rebuild. We must also activate Restore measures to repair the damage today, but above all to prepare for tomorrow: compensating agricultural losses and supporting sectors in their recovery, rebuilding better to better protect populations, and enabling the island to accelerate its adaptation to new climate realities.

Beyond the immediate emergency, this disaster reminds us once again that it is imperative to implement a more ambitious European policy for our outermost regions, which are on the front line of climate change. We must strengthen our capacity for anticipation, adaptation, and reconstruction by investing sustainably in resilient infrastructure, more effective early warning systems, and more responsive support mechanisms.

Faced with this tragedy, European solidarity must not be wishful thinking, but a concrete response. We must offer the people of Réunion not only our compassion, but also the assurance that the Union will not abandon its outermost regions, starting with the island of Réunion.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-03-10-ITM-011_EN.html
9;Maria Walsh (PPE);"Mr President, why should Irish pigmeat producers have to bear the brunt of political trade disputes, with a market as crucial as China? Just a few years ago, China accounted for 40 % of Ireland's total pork exports. But recent trade tensions have seen this figure drop to only 19 % last year. Hardworking producers are now slapped with import duties ranging from 15 % to a staggering 62 %.

Commissioner, I ask why these measures that have been proposed, which are weakening Ireland's pork sector at a time when our farmers are striving to compete fairly on the world stage, while at the same time working hard to maintain the food standards we have set here in this House for them.

The Commission must urgently rethink its trade approach to ensure that Irish farmers, and indeed the wider farming community, are not treated as a bargaining chip in political negotiations, but rather supported as vital contributors to our economy and food security.

";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-09-10-ITM-010_EN.html
10;Marie Toussaint, VERTS/ALE;"Mr. President, dear colleagues, I too will address the European right, since I cannot address the Commission. Under the guise of simplification, what you are proposing is an unprecedented erosion of protections for the European economy. While Europe is under threat, you are choosing deregulation over sovereignty. Indeed, you are proposing that we abandon the few tools that allow us, for example, to refuse entry to the European market for products made with Uyghur forced labor and to block unfair competition from American shale gas or rogue firms like Rana Plaza. And you dare call this protecting jobs? Get a grip!

Yes, we need simplification, and we will all say so here today. However, you are not simplifying; you have decided to head straight down the highway of deregulation. In doing so, you are undermining our sovereignty, our values, and the transition to a responsible economy because, by dismantling what we have begun to build, you are discouraging and penalizing responsible businesses and investors who have already committed to change. In short, you are punishing virtue and encouraging vice.

You dare to write that companies that do not meet their climate obligations, Madam Commissioner, will be able to continue operating with impunity. Is it really necessary to encourage climate-damaging activities? You also aim to reduce by 90% the number of companies subject to transparency obligations, including high-risk sectors such as mining. Is this truly reasonable? No.

We are not fooled. If you do indeed choose an alliance with the far right, you will be choosing not to reduce bureaucracy, but rather to expand the realm of impunity without limit. We will fight this policy.
";https://www.europarl.europa.eu/doceo/document/CRE-10-2025-03-10-ITM-011_EN.html
